Date,Index,Country,Close,Currency
2020-03-01,bovespa,brazil,106625.41,BRL
2020-03-02,bovespa,brazil,105537.14,BRL
2020-03-03,bovespa,brazil,107224.22,BRL
2020-03-04,bovespa,brazil,102233.24,BRL
2020-03-05,bovespa,brazil,97996.77,BRL
2020-03-08,bovespa,brazil,86067.2,BRL
2020-03-09,bovespa,brazil,92214.47,BRL
2020-03-10,bovespa,brazil,85171.13,BRL
2020-03-11,bovespa,brazil,72582.53,BRL
2020-03-12,bovespa,brazil,82677.91,BRL
2020-03-15,bovespa,brazil,71168.05,BRL
2020-03-16,bovespa,brazil,74617.24,BRL
2020-03-17,bovespa,brazil,66894.95,BRL
2020-03-18,bovespa,brazil,68331.8,BRL
2020-03-19,bovespa,brazil,67069.36,BRL
2020-03-22,bovespa,brazil,63569.62,BRL
2020-03-23,bovespa,brazil,69729.3,BRL
2020-03-24,bovespa,brazil,74955.57,BRL
2020-03-25,bovespa,brazil,77709.66,BRL
2020-03-26,bovespa,brazil,73428.78,BRL
2020-03-29,bovespa,brazil,74639.48,BRL
2020-03-30,bovespa,brazil,73019.76,BRL
2020-01-01,nasdaq,united states,9092.19,USD
2020-01-02,nasdaq,united states,9020.77,USD
2020-01-05,nasdaq,united states,9071.47,USD
2020-01-06,nasdaq,united states,9068.58,USD
2020-01-07,nasdaq,united states,9129.24,USD
2020-01-08,nasdaq,united states,9203.43,USD
2020-01-09,nasdaq,united states,9178.86,USD
2020-01-12,nasdaq,united states,9273.93,USD
2020-01-13,nasdaq,united states,9251.33,USD
2020-01-14,nasdaq,united states,9258.69,USD
2020-01-15,nasdaq,united states,9357.13,USD
2020-01-16,nasdaq,united states,9388.94,USD
2020-01-20,nasdaq,united states,9370.81,USD
2020-01-21,nasdaq,united states,9383.77,USD
2020-01-22,nasdaq,united states,9402.48,USD
2020-01-23,nasdaq,united states,9314.91,USD
2020-01-26,nasdaq,united states,9139.31,USD
2020-01-27,nasdaq,united states,9269.68,USD
2020-01-28,nasdaq,united states,9275.16,USD
2020-01-29,nasdaq,united states,9298.93,USD
2020-01-30,nasdaq,united states,9150.94,USD
2020-02-02,nasdaq,united states,9273.4,USD
2020-02-03,nasdaq,united states,9467.97,USD
2020-02-04,nasdaq,united states,9508.68,USD
2020-02-05,nasdaq,united states,9572.15,USD
2020-02-06,nasdaq,united states,9520.51,USD
2020-02-09,nasdaq,united states,9628.39,USD
2020-02-10,nasdaq,united states,9638.94,USD
2020-02-11,nasdaq,united states,9725.96,USD
2020-02-12,nasdaq,united states,9711.97,USD
2020-02-13,nasdaq,united states,9731.18,USD
2020-02-17,nasdaq,united states,9732.74,USD
2020-02-18,nasdaq,united states,9817.18,USD
2020-02-19,nasdaq,united states,9750.97,USD
2020-02-20,nasdaq,united states,9576.59,USD
2020-02-23,nasdaq,united states,9221.28,USD
2020-02-24,nasdaq,united states,8965.61,USD
2020-02-25,nasdaq,united states,8980.77,USD
2020-02-26,nasdaq,united states,8566.48,USD
2020-02-27,nasdaq,united states,8567.37,USD
2020-03-01,nasdaq,united states,8952.17,USD
2020-03-02,nasdaq,united states,8684.09,USD
2020-03-03,nasdaq,united states,9018.09,USD
2020-03-04,nasdaq,united states,8738.59,USD
2020-03-05,nasdaq,united states,8575.62,USD
2020-03-08,nasdaq,united states,7950.68,USD
2020-03-09,nasdaq,united states,8344.25,USD
2020-03-10,nasdaq,united states,7952.05,USD
2020-03-11,nasdaq,united states,7201.8,USD
2020-03-12,nasdaq,united states,7874.88,USD
2020-03-15,nasdaq,united states,6904.59,USD
2020-03-16,nasdaq,united states,7334.78,USD
2020-03-17,nasdaq,united states,6989.84,USD
2020-03-18,nasdaq,united states,7150.58,USD
2020-03-19,nasdaq,united states,6879.52,USD
2020-03-22,nasdaq,united states,6860.67,USD
2020-03-23,nasdaq,united states,7417.86,USD
2020-03-24,nasdaq,united states,7384.29,USD
2020-03-25,nasdaq,united states,7797.54,USD
2020-03-26,nasdaq,united states,7502.38,USD
2020-03-29,nasdaq,united states,7774.15,USD
2020-03-30,nasdaq,united states,7700.1,USD
2020-01-01,s&p 500,united states,3257.85,USD
2020-01-02,s&p 500,united states,3234.85,USD
2020-01-05,s&p 500,united states,3246.28,USD
2020-01-06,s&p 500,united states,3237.18,USD
2020-01-07,s&p 500,united states,3253.05,USD
2020-01-08,s&p 500,united states,3274.7,USD
2020-01-09,s&p 500,united states,3265.35,USD
2020-01-12,s&p 500,united states,3288.13,USD
2020-01-13,s&p 500,united states,3283.15,USD
2020-01-14,s&p 500,united states,3289.29,USD
2020-01-15,s&p 500,united states,3316.81,USD
2020-01-16,s&p 500,united states,3329.62,USD
2020-01-20,s&p 500,united states,3320.79,USD
2020-01-21,s&p 500,united states,3321.75,USD
2020-01-22,s&p 500,united states,3325.54,USD
2020-01-23,s&p 500,united states,3295.47,USD
2020-01-26,s&p 500,united states,3243.63,USD
2020-01-27,s&p 500,united states,3276.24,USD
2020-01-28,s&p 500,united states,3273.4,USD
2020-01-29,s&p 500,united states,3283.66,USD
2020-01-30,s&p 500,united states,3225.52,USD
2020-02-02,s&p 500,united states,3248.92,USD
2020-02-03,s&p 500,united states,3297.59,USD
2020-02-04,s&p 500,united states,3334.69,USD
2020-02-05,s&p 500,united states,3345.78,USD
2020-02-06,s&p 500,united states,3327.71,USD
2020-02-09,s&p 500,united states,3352.09,USD
2020-02-10,s&p 500,united states,3357.75,USD
2020-02-11,s&p 500,united states,3379.45,USD
2020-02-12,s&p 500,united states,3373.94,USD
2020-02-13,s&p 500,united states,3380.16,USD
2020-02-17,s&p 500,united states,3370.29,USD
2020-02-18,s&p 500,united states,3386.15,USD
2020-02-19,s&p 500,united states,3373.23,USD
2020-02-20,s&p 500,united states,3337.75,USD
2020-02-23,s&p 500,united states,3225.89,USD
2020-02-24,s&p 500,united states,3128.21,USD
2020-02-25,s&p 500,united states,3116.39,USD
2020-02-26,s&p 500,united states,2978.76,USD
2020-02-27,s&p 500,united states,2954.22,USD
