Date,Index,Country,Close,Currency
2001-09-13,bovespa,brazil,10034.4,BRL
2001-09-16,bovespa,brazil,10544.99,BRL
2001-09-17,bovespa,brazil,10554.13,BRL
2001-09-18,bovespa,brazil,10744.53,BRL
2001-09-19,bovespa,brazil,10543.12,BRL
2001-09-20,bovespa,brazil,10418.75,BRL
2001-09-23,bovespa,brazil,10532.83,BRL
2001-09-24,bovespa,brazil,10229.05,BRL
2001-09-25,bovespa,brazil,10005.87,BRL
2001-09-26,bovespa,brazil,10404.72,BRL
2001-09-27,bovespa,brazil,10635.74,BRL
2001-09-30,bovespa,brazil,10501.12,BRL
2001-10-01,bovespa,brazil,10350.83,BRL
2001-10-02,bovespa,brazil,10233.26,BRL
2001-10-03,bovespa,brazil,10061.92,BRL
2001-10-04,bovespa,brazil,10197.07,BRL
2001-10-07,bovespa,brazil,10094.56,BRL
2001-10-08,bovespa,brazil,10284.45,BRL
2001-10-09,bovespa,brazil,10462.25,BRL
2001-10-10,bovespa,brazil,10784.72,BRL
2001-10-14,bovespa,brazil,11329.32,BRL
2001-10-15,bovespa,brazil,11257.85,BRL
2001-10-16,bovespa,brazil,11271.49,BRL
2001-10-17,bovespa,brazil,10994.96,BRL
2001-10-18,bovespa,brazil,11331.57,BRL
2001-10-21,bovespa,brazil,11699.99,BRL
2001-10-22,bovespa,brazil,11613.44,BRL
2001-10-23,bovespa,brazil,11467.74,BRL
2001-10-24,bovespa,brazil,11723.75,BRL
2001-10-25,bovespa,brazil,11780.57,BRL
2001-10-28,bovespa,brazil,11377.02,BRL
2001-10-29,bovespa,brazil,11023.95,BRL
2001-10-30,bovespa,brazil,11364.71,BRL
2001-10-31,bovespa,brazil,11387.81,BRL
2001-11-04,bovespa,brazil,12164.66,BRL
2001-11-05,bovespa,brazil,12415.57,BRL
2001-11-06,bovespa,brazil,12615.83,BRL
2001-11-07,bovespa,brazil,12553.64,BRL
2001-11-08,bovespa,brazil,12730.71,BRL
2001-11-11,bovespa,brazil,12567.12,BRL
2001-11-12,bovespa,brazil,12918.09,BRL
2001-11-13,bovespa,brazil,12825.62,BRL
2001-11-15,bovespa,brazil,12882.82,BRL
2001-11-18,bovespa,brazil,12987.23,BRL
2001-11-19,bovespa,brazil,12638.13,BRL
2001-11-20,bovespa,brazil,12793.79,BRL
2001-11-21,bovespa,brazil,13019.43,BRL
2001-11-22,bovespa,brazil,13423.86,BRL
2001-11-25,bovespa,brazil,13759.53,BRL
2001-11-26,bovespa,brazil,13602.88,BRL
2001-11-27,bovespa,brazil,13019.2,BRL
2001-11-28,bovespa,brazil,12736.39,BRL
2001-11-29,bovespa,brazil,12931.71,BRL
2001-12-02,bovespa,brazil,13336.0,BRL
2001-12-03,bovespa,brazil,13146.64,BRL
2001-12-04,bovespa,brazil,13382.13,BRL
2001-12-05,bovespa,brazil,13539.03,BRL
2001-12-06,bovespa,brazil,13298.72,BRL
2001-12-09,bovespa,brazil,13446.18,BRL
2001-12-10,bovespa,brazil,13348.12,BRL
2001-12-11,bovespa,brazil,13562.94,BRL
2001-12-12,bovespa,brazil,13148.37,BRL
2001-12-13,bovespa,brazil,12959.17,BRL
2001-12-16,bovespa,brazil,12912.06,BRL
2001-12-17,bovespa,brazil,13397.36,BRL
2001-12-18,bovespa,brazil,13290.01,BRL
2001-12-19,bovespa,brazil,12918.14,BRL
2001-12-20,bovespa,brazil,13368.53,BRL
2001-12-24,bovespa,brazil,13368.53,BRL
2001-12-25,bovespa,brazil,13358.42,BRL
2001-12-26,bovespa,brazil,13755.65,BRL
2001-12-27,bovespa,brazil,13577.57,BRL
2002-01-01,bovespa,brazil,13872.09,BRL
2002-01-02,bovespa,brazil,14265.35,BRL
2002-01-03,bovespa,brazil,14331.92,BRL
2002-01-06,bovespa,brazil,14378.59,BRL
2002-01-07,bovespa,brazil,14167.58,BRL
2002-01-08,bovespa,brazil,14020.79,BRL
2002-01-09,bovespa,brazil,13570.18,BRL
